2.5496 -1.5929 1.5837
-0.5506 2.2968 -1.3163
-1.8816 -0.7624 -0.2651
2.7381 -0.3484 1.0262
-0.4252 1.2346 -0.7546
-2.2793 -0.9115 -0.2546
2.7170 1.1806 0.1496
-0.1865 -0.2501 0.0615
-2.4918 -0.9639 -0.2166
2.4054 2.8981 -0.9325
0.1592 -2.0101 1.0636
-2.5286 -0.9269 -0.1676
1.8424 4.5243 -2.0466
0.5763 -3.7708 2.1077
-2.3905 -0.8053 -0.1221
1.1498 5.5450 -2.8744
0.9319 -5.0115 2.8872
-2.0600 -0.5973 -0.0931
0.4957 5.4297 -3.0257
1.0391 -5.1867 3.0527
-1.5163 -0.3044 -0.0959
-0.0419 4.0990 -2.4254
0.8276 -4.2224 2.5247
-0.7605 0.0601 -0.1448
-0.5043 2.0345 -1.3198
0.4059 -2.5688 1.5477
0.1495 0.4630 -0.2484
-0.8402 -0.0400 -0.1011
-0.0513 -0.8156 0.4755
1.0756 0.8359 -0.3985
-1.2352 -1.8013 1.0364
-0.4532 0.7166 -0.4886
1.8231 1.0962 -0.5627
-1.3962 -2.9988 1.8973
-0.7389 1.8489 -1.2243
2.2150 1.1784 -0.6828
-1.2002 -3.5725 2.3936
-0.8990 2.5734 -1.7158
2.1533 1.0352 -0.6834
-0.6593 -3.6214 2.5205
-0.9672 2.9810 -2.0129
1.6738 0.6812 -0.5165
0.1037 -3.3219 2.3474
-0.9778 3.1662 -2.1699
0.9239 0.1935 -0.1918
0.9116 -2.7892 1.9543
-0.9366 3.1575 -2.2018
0.0844 -0.3203 0.2305
1.5934 -2.1324 1.4054
-0.8384 2.9602 -2.1053
-0.6833 -0.7781 0.6768
2.0354 -1.3663 0.7417
-0.6629 2.5472 -1.8564
-1.2827 -1.1349 1.0853
2.1291 -0.4514 -0.0040
-0.3616 1.8360 -1.3915
-1.6911 -1.3748 1.4167
1.8999 0.7490 -0.9888
0.1084 0.7679 -0.6609
-1.9259 -1.4991 1.6531
1.3278 2.1559 -2.1137
0.7556 -0.6218 0.3213
-2.0003 -1.5142 1.7803
