-0.8727 0.1622 -0.7266 -1.0810 -0.6232 -1.4305 0.9055 2.6831 -0.4648 -1.0139 0.0086 -1.1325 -0.3973 -0.6737 -0.9311 0.8902 -1.2164 0.4190 -0.9611 2.6058 1.7676
-0.6779 0.2522 0.5994 -0.8873 -0.4641 -2.0492 0.7223 1.5839 -0.4071 -0.8748 -0.0311 1.3250 -0.4300 -0.5849 1.1099 0.7982 0.8139 0.4778 2.1320 0.5292 2.8298
-0.3786 0.2500 0.4304 -0.3121 -0.0100 -1.8591 0.4440 1.3012 0.1482 -0.6132 0.1128 1.3938 -0.5852 -0.4507 0.8141 0.6165 0.9460 0.5752 2.0832 0.5248 2.8892
-0.0137 0.2947 0.2450 0.3110 0.4307 -1.6687 0.1088 1.0486 0.6265 -0.2488 0.2223 1.4272 -0.6579 -0.2926 0.5019 0.3586 1.0449 0.6778 2.0338 0.5226 2.9492
0.3556 0.3834 0.0697 0.8742 0.7874 -1.4796 -0.2268 0.8670 0.9473 0.1526 0.2848 1.4233 -0.6394 -0.1338 0.1991 0.0717 1.0966 0.7669 1.9839 0.5224 3.0095
0.6591 0.5095 -0.1361 1.2426 0.9929 -1.3485 -0.5027 0.7486 1.0373 0.4804 0.2876 1.3461 -0.5675 0.0004 -0.0872 -0.1653 1.0741 0.8061 1.9334 0.5244 3.0694
0.8416 0.6589 -0.0534 1.3100 1.0042 -1.0341 -0.6745 0.8354 0.8548 0.6336 0.2187 1.3210 -0.4962 0.0902 -0.2462 -0.2811 1.0340 0.7584 1.8823 0.5283 3.1283
0.8848 0.8141 0.0675 1.0446 0.8195 -0.6946 -0.7270 0.9176 0.4104 0.5959 0.0836 1.2307 -0.4439 0.1294 -0.3269 -0.2672 0.9062 0.6159 1.8305 0.5339 -3.0975
0.8095 0.9500 0.1587 0.5099 0.4722 -0.6053 -0.6744 1.1930 -0.2289 0.4490 -0.0980 1.0602 -0.3754 0.1247 -0.4457 -0.1844 0.8067 0.4079 1.7779 0.5412 -3.0418
0.6551 0.9592 -0.2638 -0.0079 0.1483 -1.3676 -0.5472 0.9714 -0.7079 0.2912 -0.2673 -0.7690 -0.2772 0.0937 -0.6398 -0.1040 0.6862 0.2026 -1.4169 2.5916 1.2249
0.4550 0.5302 -0.4435 0.2190 0.4098 -1.6690 -0.3738 0.9152 -0.1016 0.1638 -0.2183 -0.5972 -0.3010 0.1061 -0.5334 -0.0523 0.7173 0.2917 -1.4704 2.5813 1.1579
0.2293 0.1367 -0.5842 0.3151 0.6215 -1.9572 -0.1747 0.9120 0.3543 0.0524 -0.1507 -0.4471 -0.3083 0.1017 -0.4459 -0.0143 0.7559 0.3274 -1.5232 2.5695 1.0907
-0.0117 -0.1902 -0.6520 0.2606 0.7370 -2.2090 0.0385 0.9621 0.6081 -0.0760 -0.1049 -0.3338 -0.2976 0.0832 -0.3660 0.0381 0.8056 0.3070 -1.5743 2.5565 1.0245
-0.2563 -0.4396 -0.6178 0.0662 0.7303 -2.4082 0.2543 1.0790 0.6508 -0.2354 -0.1101 -0.2613 -0.2612 0.0558 -0.2811 0.1172 0.8702 0.2387 -1.6228 2.5422 0.9609
-0.4841 -0.6093 -0.4772 -0.2313 0.5999 -2.4378 0.4543 1.1386 0.5034 -0.4101 -0.1792 -0.2340 -0.1870 0.0277 -0.1428 0.2116 0.8960 0.1373 -1.6679 2.5269 0.9011
-0.6656 -0.6998 -0.4311 -0.5820 0.3602 -2.6274 0.6114 1.2257 0.1999 -0.5649 -0.3138 -0.3326 -0.0670 0.0096 -0.0682 0.2946 0.9101 0.0147 -1.7092 2.5109 0.8460
-0.7698 -0.7097 -0.2580 -0.9396 0.0372 -2.6175 0.6967 1.2658 -0.2179 -0.6642 -0.5064 -0.4554 0.0954 0.0129 0.0681 0.3389 0.8813 -0.1189 -1.7464 2.4943 0.7958
-0.7703 -0.6331 -0.0475 -1.2728 -0.3441 -2.5467 0.6848 1.2887 -0.7124 -0.6785 -0.7362 -0.6277 0.2837 0.0454 0.2090 0.3221 0.8245 -0.2615 -1.7799 2.4771 0.7504
-0.6519 -0.5207 -0.1763 -1.4318 -0.5932 -0.3311 0.5613 2.6900 -1.0683 -0.5865 -0.8984 0.9302 0.4097 0.1182 -0.8062 0.2283 -0.1301 -0.3876 1.3317 0.6823 -2.5980
-0.4166 -0.5877 -0.4336 -0.9019 -0.0440 -0.3511 0.3294 2.5126 -0.5794 -0.3764 -0.7813 1.1592 0.2968 0.2752 -0.7578 0.0494 -0.2614 -0.3558 1.3048 0.7008 -2.5662
-0.0883 -0.5810 -0.6803 -0.2858 0.4786 -0.3804 0.0143 2.3190 -0.1280 -0.0531 -0.6693 1.3898 0.2402 0.4542 -0.7011 -0.2091 -0.3543 -0.3081 1.2808 0.7200 -2.5354
