5.23,0.13,3.07
14.15,2.62,12.01
14.91,2.14,12.34
13.4,2.2,12.43
2.31,9.68,3.7
1.89,8.86,3.95
1.66,10.35,3.9
2.06,3.44,7.55
1.66,4.31,7.53
1.55,2.92,6.92
9.76,7.22,12.73
9.8,7.96,12.12
10.33,6.56,12.34
6.48,1.99,12.61
6.04,2.83,12.71
5.81,1.35,12.84
7.48,7.59,2.07
7.7,6.81,1.55
7.42,8.3,1.44
0.17,11.27,3.47
-0.5,10.77,3.94
-0.05,11.15,2.55
11.45,7.71,9.25
11.09,6.82,9.18
10.86,8.16,9.85
9.97,11.97,10.87
10.9,12.04,11.08
9.53,12.48,11.56
10.12,8.87,0.69
10.08,8.22,-0.01
10.49,9.65,0.26
9.66,9.14,10.85
9.67,10.09,10.9
8.74,8.9,10.96
6.63,3.29,1.31
6.54,2.6,1.97
7.06,2.86,0.57
12.87,3.73,9.78
12.41,3.07,9.27
13.29,3.24,10.48
12.04,7.97,2.86
11.31,8.25,2.3
12.05,7.02,2.78
11.98,5.51,12.09
12.82,5.91,12.34
12.24,4.71,11.62
13.23,0.05,6.76
12.71,-0.46,7.38
12.82,-0.11,5.91
9.97,2.21,0.36
10.46,2.99,0.61
10.53,1.76,-0.26
14.43,7.47,9.87
13.48,7.47,9.75
14.56,7.0,10.69
2.85,3.34,10.17
3.77,3.17,9.97
2.44,3.43,9.31
